# Simulation 10 (Up to date)
# 917 data points written for 10 variables.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Mass (g),Propellant mass (g),Mach number (?),Thrust (N),Drag force (N),Drag coefficient (?)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,-5.4713,40332,5159.2,0.0054117,174.27,0,0.62775
0.01,0,0,3.1705,40332,5159.2,0.0054776,522.81,0,0.62652
0.02,1.5856e-4,0.031715,11.814,40328,5155.5,0.0055442,871.34,3.4047e-7,0.6253
0.03,0.0010665,0.14987,20.459,40324,5151.9,0.0056266,1219.9,3.4129e-5,0.62381
0.04,0.0035883,0.35449,24.927,40321,5148.2,0.00577,1399.9,4.1623e-4,0.62129
0.05,0.0083797,0.6038,25.218,40315,5142.7,0.0060089,1411.4,0.0018618,0.61726
0.06,0.015679,0.85603,25.51,40308,5135.2,0.0062115,1423,0.0048802,0.61401
# Event LIFTOFF occurred at t=0.07 seconds
0.07,0.025515,1.1112,25.802,40300,5127.8,0.0064978,1434.5,0.0097646,0.60965
0.08,0.037917,1.3693,25.586,40293,5120.3,0.00686,1425.5,0.016648,0.60448
0.09,0.052889,1.6252,24.86,40286,5113,0.0072797,1396,0.025348,0.59892
0.1,0.070384,1.8738,24.134,40278,5105.8,0.0077351,1366.5,0.035472,0.59334
0.11,0.090329,2.1152,23.408,40271,5098.5,0.0083067,1337,0.046305,0.58693
0.12,0.11265,2.3493,23.068,40264,5091.3,0.0088823,1323.1,0.057983,0.58103
0.13,0.1373,2.5801,23.114,40257,5084.2,0.0094655,1324.8,0.070556,0.57555
0.14,0.16425,2.8112,23.16,40250,5077.2,0.010062,1326.4,0.084159,0.57037
0.15,0.19353,3.0429,23.207,40243,5070.3,0.010671,1328.1,0.098751,0.56549
0.16,0.22512,3.275,23.269,40236,5063.3,0.011262,1330.4,0.11444,0.56109
0.17,0.25903,3.5077,23.348,40229,5056.3,0.011864,1333.3,0.13102,0.5569
0.18,0.29527,3.7413,23.428,40222,5049.3,0.012477,1336.3,0.14848,0.55292
0.19,0.33386,3.9756,23.507,40215,5042.3,0.013099,1339.3,0.16677,0.54912
0.2,0.37479,4.2107,23.573,40208,5035.3,0.01373,1341.7,0.18587,0.5455
0.21,0.41808,4.4465,23.625,40201,5028.2,0.014348,1343.6,0.20574,0.54217
0.22,0.46372,4.6828,23.678,40194,5021,0.014973,1345.5,0.22627,0.53897
0.23,0.51173,4.9196,23.731,40186,5013.8,0.015607,1347.4,0.24742,0.53591
0.24,0.56212,5.157,23.784,40179,5006.5,0.016246,1349.3,0.26918,0.53297
0.25,0.61488,5.3949,23.837,40172,4999.3,0.016892,1351.2,0.29152,0.53016
0.26,0.67002,5.6333,23.89,40165,4992.1,0.017561,1353.1,0.31473,0.52738
0.27,0.72754,5.8722,23.943,40157,4984.9,0.018233,1355,0.33862,0.52473
0.28,0.78746,6.1117,23.996,40150,4977.7,0.018909,1356.9,0.36319,0.52219
0.29,0.84978,6.3517,24.048,40143,4970.4,0.019589,1358.9,0.38842,0.51974
0.3,0.9145,6.5922,24.101,40136,4963.2,0.020272,1360.8,0.41431,0.5174
0.31,0.98163,6.8333,24.154,40129,4956,0.020935,1362.7,0.43974,0.51521
0.32,1.0512,7.0749,24.207,40121,4948.8,0.021603,1364.6,0.46513,0.5131
0.33,1.1231,7.317,24.26,40114,4941.6,0.022275,1366.5,0.49056,0.51106
0.34,1.1975,7.5597,24.313,40107,4934.3,0.022951,1368.4,0.51607,0.50909
0.35,1.2743,7.8028,24.366,40100,4927.1,0.023631,1370.3,0.54175,0.50718
0.36,1.3536,8.0465,24.419,40092,4919.9,0.024317,1372.2,0.56795,0.50532
0.37,1.4353,8.2908,24.472,40085,4912.7,0.025007,1374.1,0.59446,0.50352
0.38,1.5194,8.5356,24.525,40078,4905.5,0.025699,1376,0.62133,0.50178
0.39,1.606,8.7809,24.578,40071,4898.3,0.026394,1377.9,0.64857,0.50008
0.4,1.695,9.0267,24.631,40064,4891,0.027093,1379.8,0.67624,0.49844
0.41,1.7865,9.273,24.684,40056,4883.8,0.027803,1381.7,0.70599,0.49683
0.42,1.8805,9.5199,24.737,40049,4876.6,0.028515,1383.6,0.73632,0.49526
0.43,1.9769,9.7674,24.79,40042,4869.4,0.02923,1385.5,0.76725,0.49373
0.44,2.0758,10.015,24.843,40035,4862.2,0.029946,1387.4,0.7988,0.49225
0.45,2.1772,10.264,24.896,40027,4854.9,0.030665,1389.3,0.83097,0.49081
0.46,2.2811,10.513,24.949,40020,4847.7,0.031395,1391.2,0.86601,0.48939
0.47,2.3875,10.762,25.002,40013,4840.5,0.032127,1393.1,0.9018,0.48801
0.48,2.4963,11.012,25.055,40006,4833.3,0.032861,1395,0.93834,0.48667
0.49,2.6077,11.263,25.108,39999,4826.1,0.033596,1396.9,0.97563,0.48536
0.5,2.7216,11.514,25.161,39991,4818.8,0.034333,1398.9,1.0137,0.48408
0.51,2.838,11.766,25.214,39984,4811.6,0.035044,1400.8,1.0447,0.48288
0.52,2.9569,12.018,25.268,39977,4804.4,0.035759,1402.7,1.0763,0.48171
# Event LAUNCHROD occurred at t=0.53 seconds
0.53,3.0784,12.271,25.321,39970,4797.2,0.036476,1405,1.1084,0.48056
0.545,3.2653,12.651,25.411,39961,4788.2,0.037556,1408.6,1.161,0.48044
0.5675,3.5564,13.223,25.509,39947,4774.6,0.039219,1411.6,1.2553,0.48046
0.60125,4.0172,14.085,25.549,39927,4754,0.041738,1412.7,1.4092,0.48048
0.65125,4.7534,15.363,25.608,39895,4722.9,0.045443,1413.9,1.6371,0.48052
0.70125,5.5536,16.645,25.666,39858,4685.8,0.049193,1415.2,1.8978,0.48056
0.75125,6.4179,17.929,25.724,39821,4648.6,0.052964,1416.5,2.1848,0.4806
0.80125,7.3466,19.217,25.782,39784,4611.5,0.056723,1417.7,2.4778,0.48065
0.85125,8.3396,20.507,25.839,39747,4574.3,0.060513,1419,2.803,0.4807
0.90125,9.3973,21.8,25.895,39710,4537.2,0.064301,1420.3,3.1402,0.48076
0.95125,10.52,23.096,25.926,39673,4500,0.068102,1420.5,3.4984,0.48082
1.0013,11.707,24.393,25.932,39635,4462.8,0.071929,1419.9,3.892,0.48088
1.0513,12.959,25.691,25.938,39598,4425.6,0.075717,1419.2,4.2709,0.48095
1.1013,14.276,26.989,25.943,39561,4388.4,0.079536,1418.5,4.6914,0.48101
1.1513,15.658,28.287,25.947,39524,4351.2,0.083323,1417.9,5.1027,0.48109
1.2013,17.105,29.586,25.95,39487,4314,0.087132,1417.2,5.551,0.48116
1.2513,18.617,30.884,25.95,39449,4276.8,0.090988,1416.6,6.0543,0.48124
1.3013,20.193,32.183,25.945,39412,4239.6,0.094815,1415.7,6.5534,0.48133
1.3513,21.835,33.481,25.922,39375,4202.4,0.098619,1414.3,7.0552,0.48141
1.4013,23.541,34.778,25.895,39338,4165.4,0.10248,1412.7,7.6145,0.4815
1.4513,25.313,36.073,25.865,39301,4128.4,0.10628,1411.2,8.1611,0.48159
1.5013,27.149,37.367,25.832,39264,4091.4,0.11008,1409.6,8.7374,0.48169
1.5513,29.049,38.66,25.797,39227,4054.4,0.11389,1408.1,9.3416,0.48179
1.6013,31.015,39.95,25.759,39190,4017.4,0.1177,1406.6,9.971,0.48189
1.6513,33.044,41.239,25.72,39153,3980.4,0.12154,1405,10.632,0.482
1.7013,35.138,42.525,25.658,39116,3943.5,0.12534,1402.7,11.312,0.48211
1.7513,37.297,43.809,25.585,39079,3906.7,0.12915,1400,12.016,0.48222
1.8013,39.519,45.088,25.512,39043,3870.1,0.13297,1397.4,12.741,0.48234
1.8513,41.805,46.364,25.434,39006,3833.6,0.13675,1394.7,13.492,0.48246
1.9013,44.155,47.636,25.353,38970,3797,0.14048,1392.1,14.276,0.48258
1.9513,46.569,48.904,25.277,38933,3760.4,0.14427,1389.4,15.062,0.4827
2.0013,49.046,50.168,25.2,38896,3723.8,0.14803,1386.8,15.874,0.48283
2.0513,51.586,51.428,25.125,38860,3687.2,0.15174,1384.3,16.72,0.48296
2.1013,54.188,52.685,25.075,38823,3650.8,0.1555,1382.4,17.549,0.4831
2.1513,56.854,53.939,25.026,38787,3614.6,0.15923,1380.6,18.407,0.48323
2.2013,59.582,55.191,24.982,38751,3578.4,0.16296,1378.7,19.275,0.48337
2.2513,62.373,56.441,24.943,38715,3542.3,0.16668,1376.9,20.151,0.48352
2.3013,65.226,57.689,24.91,38679,3506.1,0.17042,1375.1,21.033,0.48366
2.3513,68.142,58.936,24.879,38643,3470,0.17411,1373.3,21.937,0.48381
2.4012,71.12,60.18,24.851,38606,3433.9,0.17779,1371.4,22.857,0.48396
2.4512,74.16,61.424,24.827,38570,3397.8,0.18154,1369.4,23.774,0.48412
2.5012,77.262,62.667,24.795,38534,3361.9,0.18521,1367.1,24.724,0.48428
2.5512,80.427,63.908,24.765,38499,3326.1,0.18888,1364.9,25.692,0.48444
2.6012,83.653,65.147,24.737,38463,3290.4,0.19255,1362.7,26.682,0.4846
2.6512,86.941,66.385,24.709,38427,3254.6,0.19623,1360.5,27.701,0.48477
2.7012,90.292,67.622,24.682,38391,3218.9,0.19994,1358.3,28.767,0.48494
2.7512,93.704,68.857,24.65,38356,3183.1,0.20362,1356.1,29.858,0.48511
2.8012,97.177,70.091,24.6,38320,3147.4,0.20728,1353.4,30.968,0.48529
2.8512,100.71,71.322,24.496,38284,3111.9,0.21092,1348.8,32.084,0.48546
2.9012,104.31,72.548,24.383,38249,3076.7,0.21455,1344,33.222,0.48564
2.9512,107.97,73.768,24.265,38214,3041.6,0.21817,1339.1,34.369,0.48583
3.0012,111.69,74.981,24.14,38179,3006.6,0.22172,1334.3,35.466,0.48601
3.0512,115.47,76.189,24.014,38144,2971.5,0.22533,1329.5,36.632,0.4862
3.1012,119.3,77.39,23.884,38109,2936.4,0.22891,1324.7,37.792,0.48639
3.1512,123.2,78.584,23.752,38074,2901.4,0.23247,1320,38.949,0.48658
3.2012,127.16,79.772,23.719,38039,2866.4,0.23601,1319.3,40.108,0.48677
3.2512,131.18,80.958,23.725,38004,2831.5,0.23954,1320.4,41.275,0.48697
3.3012,135.26,82.144,23.727,37969,2796.8,0.24307,1321.5,42.478,0.48717
3.3512,139.4,83.33,23.72,37935,2762.1,0.24657,1322.6,43.701,0.48737
3.4012,143.59,84.516,23.716,37900,2727.4,0.25013,1323.7,44.982,0.48757
3.4512,147.85,85.701,23.71,37865,2692.7,0.25367,1324.8,46.289,0.48778
3.5012,152.16,86.887,23.71,37831,2658,0.25725,1325.9,47.62,0.48799
3.5512,156.54,88.072,23.717,37796,2623.3,0.26083,1327,48.964,0.48821
3.6012,160.97,89.258,23.737,37761,2588.6,0.26439,1328.6,50.319,0.48843
3.6512,165.46,90.445,23.759,37726,2553.7,0.26789,1330.1,51.686,0.48865
3.7012,170.01,91.633,23.799,37691,2518.7,0.27145,1331.7,53.048,0.48887
3.7512,174.63,92.824,23.852,37656,2483.7,0.27504,1333.3,54.416,0.4891
3.8012,179.3,94.017,23.909,37621,2448.8,0.2786,1334.8,55.798,0.48933
3.8512,184.03,95.214,23.98,37586,2413.8,0.28224,1336.4,57.221,0.48957
3.9012,188.82,96.414,24.032,37551,2378.9,0.28582,1337.6,58.666,0.4898
3.9512,193.67,97.617,23.842,37517,2344,0.2894,1329.7,60.148,0.49004
4.0012,198.58,98.81,23.54,37482,2309.7,0.29295,1317.7,61.647,0.49029
4.0512,203.55,99.988,23.234,37448,2275.8,0.29649,1305.7,63.171,0.49053
4.1012,208.58,101.15,22.921,37414,2241.9,0.29998,1293.8,64.696,0.49077
4.1512,213.66,102.3,22.596,37381,2208,0.3034,1281.8,66.175,0.49101
4.2012,218.81,103.43,22.266,37347,2174,0.30682,1269.8,67.673,0.49126
4.2512,224.01,104.54,21.923,37313,2140.1,0.31015,1257.8,69.111,0.4915
4.3012,229.26,105.64,21.664,37279,2106.2,0.31346,1249.2,70.554,0.49174
4.3512,234.57,106.72,21.732,37245,2072.5,0.31671,1253.4,71.975,0.49198
4.4012,239.93,107.8,21.828,37212,2039.1,0.32,1258.7,73.453,0.49222
4.4512,245.35,108.89,21.916,37178,2005.9,0.32329,1264.1,74.968,0.49247
4.5012,250.82,109.99,21.998,37145,1972.6,0.32655,1269.5,76.518,0.49271
4.5512,256.35,111.09,22.096,37112,1939.4,0.32989,1274.9,78.113,0.49297
4.6012,261.93,112.19,22.201,37079,1906.2,0.3332,1280.3,79.714,0.49323
4.6512,267.57,113.3,22.316,37045,1872.9,0.33656,1285.3,81.312,0.49349
4.7012,273.26,114.42,22.188,37012,1839.7,0.33988,1280.8,82.902,0.49375
4.7512,279.01,115.53,21.973,36979,1806.7,0.34324,1272,84.481,0.49402
4.8012,284.81,116.63,21.769,36946,1773.8,0.34657,1263.2,86.068,0.49429
4.8512,290.67,117.72,21.563,36913,1740.9,0.34984,1254.5,87.673,0.49455
4.9012,296.59,118.8,21.358,36881,1708,0.35312,1245.7,89.333,0.49482
4.9512,302.55,119.87,21.138,36848,1675.1,0.35632,1236.9,90.987,0.49509
5.0012,308.57,120.92,20.904,36815,1642.2,0.35947,1228.2,92.613,0.49535
5.0512,314.64,121.97,20.628,36782,1609.3,0.36256,1218.5,94.181,0.49561
5.1012,320.77,123,20.259,36750,1577.1,0.36566,1205.7,95.767,0.49587
5.1512,326.94,124.01,19.865,36719,1546,0.3687,1192.6,97.305,0.49613
5.2012,333.17,125.01,19.461,36688,1515.2,0.37169,1179.5,98.836,0.49639
5.2512,339.44,125.98,19.048,36657,1484.5,0.37462,1166.4,100.36,0.49665
5.3012,345.77,126.93,18.63,36626,1453.7,0.37747,1153.3,101.89,0.4969
5.3512,352.14,127.86,18.224,36596,1423,0.3803,1140.2,103.42,0.49715
5.4012,358.55,128.77,17.834,36565,1392.2,0.38306,1127.3,104.93,0.4974
5.4512,365.01,129.66,17.589,36534,1361.7,0.38579,1118.9,106.39,0.49764
5.5012,371.52,130.54,17.427,36505,1332.1,0.38854,1112.6,107.84,0.49789
5.5512,378.07,131.41,17.264,36476,1303.3,0.3912,1106.2,109.27,0.49813
5.6012,384.66,132.28,17.099,36447,1274.4,0.39378,1099.9,110.67,0.49837
5.6512,391.29,133.13,16.937,36418,1245.6,0.39635,1093.5,112.08,0.4986
5.7012,397.97,133.98,16.782,36389,1216.8,0.39897,1087.2,113.56,0.49885
5.7512,404.69,134.82,16.602,36360,1187.9,0.40147,1080.8,114.95,0.49908
5.8012,411.45,135.65,16.452,36332,1159.1,0.40397,1075.8,116.35,0.49932
5.8512,418.26,136.47,16.423,36303,1130.4,0.40645,1075.7,117.73,0.49955
5.9012,425.1,137.29,16.398,36275,1102.1,0.40894,1076.1,119.12,0.49979
5.9512,431.99,138.11,16.365,36246,1073.8,0.41144,1076.5,120.52,0.50003
6.0012,438.91,138.93,16.328,36218,1045.6,0.41393,1076.9,121.94,0.50027
6.0512,445.88,139.75,16.285,36190,1017.3,0.41639,1077.2,123.36,0.50051
6.1012,452.89,140.56,16.263,36162,989.09,0.41893,1077.6,124.83,0.50075
6.1512,459.94,141.37,16.232,36133,960.84,0.42139,1077.7,126.26,0.501
6.2012,467.02,142.18,16.02,36105,932.71,0.42394,1070.1,127.73,0.50125
6.2512,474.15,142.98,15.708,36078,905.1,0.42638,1059.1,129.15,0.50149
6.3012,481.32,143.77,15.398,36050,877.89,0.42873,1048,130.52,0.50172
6.3512,488.53,144.54,15.109,36023,850.68,0.43114,1037,131.94,0.50197
6.4012,495.78,145.3,14.809,35996,823.47,0.43347,1025.9,133.32,0.5022
6.4512,503.06,146.04,14.511,35969,796.26,0.43583,1014.9,134.74,0.50244
6.5012,510.38,146.76,14.185,35942,769.05,0.43806,1003.9,136.07,0.50267
6.5512,517.73,147.47,13.894,35914,741.84,0.44025,994.64,137.36,0.50289
6.6012,525.13,148.17,13.683,35888,715.3,0.44238,988.87,138.62,0.50311
6.6512,532.55,148.85,13.476,35862,689.59,0.44454,983.18,139.91,0.50334
6.7012,540.01,149.52,13.259,35837,664.02,0.44661,977.49,141.16,0.50355
6.7512,547.5,150.18,13.062,35811,638.45,0.44871,971.8,142.44,0.50377
6.8012,555.03,150.84,12.87,35785,612.87,0.45072,966.11,143.67,0.50398
6.8512,562.59,151.48,12.703,35760,587.3,0.45274,960.42,144.88,0.5042
6.9012,570.18,152.11,12.53,35734,561.73,0.45472,953.93,146.06,0.50441
6.9512,577.8,152.74,11.771,35709,536.63,0.45665,926.09,147.22,0.50461
7.0012,585.45,153.33,10.751,35686,513.63,0.45847,888.73,148.32,0.50481
7.0512,593.13,153.87,9.7301,35665,492.25,0.46017,851.37,149.36,0.50499
7.1012,600.83,154.36,8.6827,35643,470.87,0.46163,814.01,150.21,0.50515
7.1512,608.56,154.79,7.6353,35622,449.49,0.463,776.65,151.02,0.50529
7.2012,616.31,155.17,6.5614,35601,428.11,0.46413,739.29,151.63,0.50542
7.2512,624.08,155.5,5.5003,35579,406.73,0.4652,701.94,152.23,0.50553
7.3012,631.86,155.77,4.5477,35558,385.36,0.46606,668.88,152.68,0.50563
7.3512,639.66,156,3.8363,35539,366.86,0.46683,643.95,153.07,0.50571
7.4012,647.46,156.19,3.1382,35524,351.87,0.4675,619.22,153.39,0.50578
7.4512,655.27,156.35,2.4618,35510,337.49,0.46812,594.48,153.67,0.50585
7.5012,663.09,156.47,1.7784,35496,323.12,0.46856,569.75,153.83,0.5059
7.5512,670.92,156.56,1.0981,35481,308.74,0.46889,545.02,153.91,0.50594
7.6012,678.75,156.62,0.42342,35467,294.36,0.46914,520.29,153.93,0.50596
7.6512,686.58,156.64,-0.25753,35453,279.98,0.46924,495.55,153.86,0.50597
7.7012,694.41,156.63,-0.9368,35438,265.6,0.46926,470.82,153.73,0.50598
7.7512,702.24,156.58,-1.6211,35424,251.22,0.46915,446.09,153.51,0.50596
7.8012,710.07,156.5,-2.2686,35409,236.84,0.46899,422.43,153.25,0.50595
7.8512,717.89,156.38,-2.6763,35396,223.55,0.4687,407.61,152.91,0.50591
7.9012,725.71,156.25,-3.0312,35385,212.83,0.46833,394.75,152.51,0.50587
7.9512,733.52,156.1,-3.3808,35376,203.58,0.46794,381.89,152.1,0.50583
8.0012,741.32,155.93,-3.7213,35367,194.33,0.46753,369.03,151.68,0.50579
8.0512,749.11,155.75,-4.0543,35358,185.08,0.4671,356.18,151.25,0.50574
8.1012,756.89,155.54,-4.3924,35348,175.83,0.46661,343.32,150.77,0.50569
8.1512,764.66,155.32,-4.7337,35339,166.58,0.46608,330.46,150.27,0.50563
8.2012,772.42,155.09,-5.0766,35330,157.32,0.46551,317.6,149.75,0.50557
8.2512,780.17,154.83,-5.4348,35321,148.07,0.46483,304.75,149.14,0.50549
8.3012,787.91,154.56,-5.8104,35311,138.82,0.46399,291.89,148.45,0.5054
8.3512,795.63,154.27,-6.1063,35302,129.61,0.4632,281.06,147.78,0.50532
8.4012,803.33,153.97,-6.3405,35294,121.89,0.46234,272.06,147.07,0.50522
8.4512,811.02,153.65,-6.5602,35288,115.62,0.46147,263.06,146.35,0.50513
8.5012,818.7,153.32,-6.7668,35282,109.35,0.46059,254.06,145.62,0.50503
8.5512,826.36,152.99,-6.9763,35276,103.08,0.45965,245.06,144.86,0.50493
8.6012,834,152.64,-7.1937,35269,96.809,0.45865,236.06,144.07,0.50483
8.6512,841.62,152.28,-7.4089,35263,90.54,0.45766,227.06,143.29,0.50472
8.7012,849.22,151.91,-7.6382,35257,84.271,0.45661,218.06,142.47,0.50461
8.7512,856.81,151.53,-7.8622,35251,78.002,0.45562,209.06,141.7,0.5045
8.8012,864.38,151.14,-8.0984,35244,71.733,0.45458,200.06,140.88,0.50439
8.8512,871.92,150.73,-8.3326,35238,65.463,0.45348,191.62,140.03,0.50427
8.9012,879.45,150.31,-8.5119,35232,59.838,0.45233,185.31,139.16,0.50415
8.9512,886.95,149.89,-8.6894,35228,55.243,0.45111,179.21,138.26,0.50402
9.0012,894.44,149.45,-8.8521,35224,51.034,0.44989,173.11,137.36,0.5039
9.0512,901.9,149.01,-9.011,35219,46.825,0.44858,167,136.41,0.50376
9.1012,909.34,148.56,-9.1376,35215,42.616,0.44732,160.9,135.47,0.50363
9.1512,916.76,148.11,-9.2679,35211,38.407,0.44593,154.79,134.46,0.50348
9.2012,924.15,147.65,-9.3664,35207,34.199,0.44466,148.69,133.53,0.50335
9.2512,931.52,147.18,-9.4665,35203,29.99,0.44339,142.59,132.63,0.50322
9.3012,938.87,146.71,-9.5886,35198,25.781,0.44203,136.48,131.68,0.50308
9.3512,946.19,146.23,-9.7309,35194,21.572,0.44066,130.19,130.72,0.50294
9.4013,953.49,145.74,-10.026,35190,17.647,0.43928,118.98,129.74,0.50279
9.4513,960.76,145.24,-10.406,35188,14.982,0.43779,105.57,128.67,0.50264
9.5013,968.01,144.72,-10.78,35186,13.294,0.43633,92.168,127.66,0.50249
9.5513,975.24,144.18,-11.155,35184,11.606,0.43481,78.762,126.62,0.50234
9.6013,982.43,143.62,-11.523,35182,9.9176,0.43325,65.355,125.57,0.50218
9.6513,989.6,143.05,-11.889,35181,8.2295,0.43156,51.949,124.46,0.50201
9.7013,996.74,142.45,-12.237,35179,6.5414,0.42984,38.543,123.32,0.50184
9.7513,1003.8,141.84,-12.565,35177,4.8533,0.42808,25.137,122.15,0.50166
9.8013,1010.9,141.22,-12.879,35176,3.1652,0.42628,11.73,120.97,0.50148
9.8513,1018,140.57,-13.123,35174,1.4771,0.42438,0.94263,119.74,0.50129
# Event BURNOUT occurred at t=9.9013 seconds
9.9013,1025,139.92,-13.093,35173,0.31652,0.42242,0,118.49,0.5011
9.9513,1032,139.27,-13.033,35173,0,0.42053,0,117.31,0.50091
10.001,1038.9,138.62,-12.98,35173,0,0.41867,0,116.15,0.50073
10.051,1045.8,137.97,-12.945,35173,0,0.41678,0,114.97,0.50054
10.101,1052.7,137.32,-12.932,35173,0,0.41482,0,113.74,0.50035
10.151,1059.6,136.67,-12.923,35173,0,0.41291,0,112.54,0.50017
10.201,1066.4,136.03,-12.913,35173,0,0.41103,0,111.38,0.49999
10.251,1073.2,135.38,-12.901,35173,0,0.40916,0,110.25,0.49981
10.301,1079.9,134.74,-12.88,35173,0,0.40733,0,109.14,0.49963
10.351,1086.6,134.1,-12.856,35173,0,0.40547,0,108.03,0.49946
10.401,1093.3,133.45,-12.821,35173,0,0.40364,0,106.93,0.49929
10.451,1100,132.81,-12.779,35173,0,0.40181,0,105.84,0.49911
10.501,1106.6,132.18,-12.735,35173,0,0.39997,0,104.75,0.49894
10.551,1113.2,131.54,-12.693,35173,0,0.3981,0,103.65,0.49877
10.601,1119.8,130.91,-12.638,35173,0,0.39634,0,102.62,0.4986
10.651,1126.3,130.28,-12.594,35173,0,0.39454,0,101.59,0.49844
10.701,1132.8,129.65,-12.562,35173,0,0.39271,0,100.54,0.49827
10.751,1139.2,129.02,-12.536,35173,0,0.39089,0,99.491,0.4981
10.801,1145.7,128.39,-12.533,35173,0,0.38894,0,98.38,0.49792
10.851,1152.1,127.77,-12.515,35173,0,0.38711,0,97.35,0.49776
10.901,1158.5,127.14,-12.494,35173,0,0.38531,0,96.343,0.4976
10.951,1164.8,126.52,-12.477,35173,0,0.38348,0,95.326,0.49743
11.001,1171.1,125.89,-12.44,35173,0,0.38176,0,94.371,0.49728
11.051,1177.4,125.27,-12.42,35173,0,0.3799,0,93.355,0.49711
11.101,1183.6,124.65,-12.394,35173,0,0.37807,0,92.358,0.49695
11.151,1189.9,124.03,-12.355,35173,0,0.37631,0,91.399,0.4968
11.201,1196,123.42,-12.321,35173,0,0.37451,0,90.426,0.49664
11.251,1202.2,122.8,-12.275,35173,0,0.3728,0,89.513,0.49649
11.301,1208.3,122.19,-12.241,35173,0,0.37103,0,88.572,0.49634
11.351,1214.4,121.58,-12.213,35173,0,0.36923,0,87.625,0.49618
11.401,1220.5,120.97,-12.19,35173,0,0.36744,0,86.682,0.49603
11.451,1226.5,120.36,-12.175,35173,0,0.3656,0,85.725,0.49587
11.501,1232.5,119.75,-12.157,35173,0,0.3638,0,84.795,0.49572
11.551,1238.5,119.14,-12.141,35173,0,0.36198,0,83.863,0.49556
11.601,1244.4,118.54,-12.122,35173,0,0.36019,0,82.948,0.49541
11.651,1250.3,117.93,-12.092,35173,0,0.35846,0,82.072,0.49527
11.701,1256.2,117.33,-12.062,35173,0,0.35673,0,81.197,0.49512
11.751,1262.1,116.72,-12.023,35173,0,0.35506,0,80.361,0.49498
11.801,1267.9,116.12,-11.994,35173,0,0.35334,0,79.501,0.49484
11.851,1273.7,115.53,-11.973,35173,0,0.35156,0,78.624,0.49469
11.901,1279.4,114.93,-11.951,35173,0,0.34981,0,77.765,0.49455
11.951,1285.2,114.33,-11.922,35173,0,0.34813,0,76.944,0.49441
12.001,1290.9,113.73,-11.903,35173,0,0.34637,0,76.095,0.49427
12.051,1296.6,113.14,-11.884,35173,0,0.34464,0,75.26,0.49413
12.101,1302.2,112.55,-11.867,35173,0,0.34289,0,74.425,0.49399
12.151,1307.8,111.95,-11.843,35173,0,0.3412,0,73.623,0.49386
12.201,1313.4,111.36,-11.814,35173,0,0.33955,0,72.845,0.49373
12.251,1318.9,110.77,-11.796,35173,0,0.33782,0,72.034,0.49359
12.301,1324.5,110.18,-11.781,35173,0,0.33606,0,71.219,0.49345
12.351,1330,109.59,-11.756,35173,0,0.33438,0,70.442,0.49332
12.401,1335.4,109.01,-11.727,35173,0,0.33274,0,69.687,0.49319
12.451,1340.9,108.42,-11.705,35173,0,0.33105,0,68.913,0.49306
12.501,1346.3,107.84,-11.688,35173,0,0.3293,0,68.126,0.49293
12.551,1351.6,107.25,-11.656,35173,0,0.3277,0,67.403,0.4928
12.601,1357,106.67,-11.629,35173,0,0.32607,0,66.672,0.49268
12.651,1362.3,106.09,-11.621,35173,0,0.32427,0,65.878,0.49254
12.701,1367.6,105.51,-11.6,35173,0,0.3226,0,65.141,0.49242
12.751,1372.9,104.93,-11.568,35173,0,0.32104,0,64.457,0.4923
12.801,1378.1,104.35,-11.554,35173,0,0.31932,0,63.71,0.49217
12.851,1383.3,103.77,-11.531,35173,0,0.3177,0,63.008,0.49205
12.901,1388.5,103.2,-11.521,35173,0,0.31596,0,62.261,0.49192
12.951,1393.6,102.62,-11.503,35173,0,0.3143,0,61.554,0.4918
13.001,1398.7,102.05,-11.482,35173,0,0.31266,0,60.862,0.49168
13.051,1403.8,101.47,-11.453,35173,0,0.3111,0,60.203,0.49156
13.101,1408.9,100.9,-11.431,35173,0,0.30949,0,59.53,0.49145
13.151,1413.9,100.33,-11.413,35173,0,0.30784,0,58.847,0.49133
13.201,1418.9,99.761,-11.388,35173,0,0.30628,0,58.201,0.49122
13.251,1423.9,99.192,-11.376,35173,0,0.30461,0,57.517,0.4911
13.301,1428.8,98.624,-11.358,35173,0,0.30299,0,56.86,0.49098
13.351,1433.8,98.056,-11.347,35173,0,0.30132,0,56.185,0.49087
13.401,1438.6,97.49,-11.327,35173,0,0.29974,0,55.552,0.49075
13.451,1443.5,96.923,-11.318,35173,0,0.29805,0,54.881,0.49064
13.501,1448.3,96.358,-11.304,35173,0,0.29639,0,54.229,0.49052
13.551,1453.1,95.793,-11.285,35173,0,0.29477,0,53.594,0.49041
13.601,1457.9,95.229,-11.271,35173,0,0.2931,0,52.944,0.4903
13.651,1462.7,94.666,-11.258,35173,0,0.29139,0,52.288,0.49018
13.701,1467.4,94.104,-11.234,35173,0,0.28977,0,51.664,0.49007
13.751,1472.1,93.543,-11.208,35173,0,0.28818,0,51.052,0.48996
13.801,1476.7,92.983,-11.185,35173,0,0.28654,0,50.432,0.48985
13.851,1481.4,92.424,-11.16,35173,0,0.28491,0,49.822,0.48974
